time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.164772,2.3331,2.6235,-5.1008,6.192
1.169467,2.7433,2.8806,-5.5324,6.814
1.174109,3.0704,2.9785,-5.8962,7.285
1.179123,3.3139,3.0229,-6.2466,7.690
1.184186,3.4920,2.9202,-6.4017,7.855
1.188769,3.6157,2.8973,-6.4996,7.982
1.193600,3.7085,2.9745,-6.4495,8.012
1.204056,3.7640,3.0293,-6.2849,7.927
1.205311,3.7718,2.9226,-6.1499,7.784
1.208940,3.7295,2.6567,-5.9067,7.474
1.214096,3.5958,2.2366,-5.3816,6.848
1.218376,3.2517,1.6839,-4.7474,5.996
1.223315,2.7793,1.1402,-4.1597,5.131
1.228715,2.3868,0.8090,-3.7167,4.491
1.233330,2.2657,0.6618,-3.3178,4.072
1.238072,2.3319,0.6127,-3.0227,3.866
1.243178,2.4095,0.6352,-2.6868,3.664
1.248107,2.3479,0.7821,-2.2798,3.365
1.253037,2.2603,0.9411,-1.8717,3.082
1.257969,2.3540,1.0811,-1.6593,3.076
1.264308,2.7940,1.1058,-1.6155,3.412
1.268719,3.4932,1.0502,-1.8684,4.098
1.273164,4.1301,0.8942,-2.0989,4.718
1.277931,4.5427,0.5726,-2.0278,5.008
1.283993,4.8023,0.2306,-1.8773,5.161
1.288734,5.0289,-0.0819,-1.7601,5.329
1.292613,5.1838,-0.4845,-1.5607,5.435
1.306243,5.4401,-0.7308,-1.4447,5.676
1.308061,5.7125,-0.9760,-1.1618,5.911
1.308848,6.0015,-1.2223,-0.9205,6.193
1.317719,6.3168,-1.4740,-0.7567,6.530
1.318902,6.6518,-1.7374,-0.8216,6.924
1.322235,6.9702,-2.1618,-0.3903,7.308
1.327660,7.1259,-2.7788,0.1084,7.649
1.332042,7.3297,-3.2327,0.1477,8.012
1.336941,7.7028,-3.4528,0.2059,8.444
1.341645,8.1835,-3.4743,0.5296,8.906
1.348372,8.6232,-3.3202,0.5617,9.257
1.352267,8.7937,-2.9493,0.0516,9.275
1.357763,8.7404,-2.5815,-0.5015,9.127
1.361800,8.6903,-2.3621,-0.7023,9.033
1.368283,8.7507,-2.2786,-0.8501,9.082
1.372025,8.8528,-2.3267,-0.9727,9.205
1.376436,8.9184,-2.5851,-0.9349,9.332
1.381332,8.9576,-2.8582,-0.9150,9.447
1.386633,8.9522,-3.1100,-0.6829,9.502
1.391438,8.9933,-3.3720,-0.3853,9.612
1.398334,8.9272,-3.6388,-0.2060,9.642
1.401690,8.7343,-3.7857,-0.1612,9.521
1.406858,8.5271,-3.8128,-0.0932,9.341
1.411140,8.5547,-3.5921,0.2366,9.281
1.423507,8.8417,-3.1359,0.6154,9.401
1.425495,9.4485,-2.4955,1.0268,9.826
1.426893,10.1292,-1.7858,1.3358,10.372
1.434179,10.6712,-1.2945,1.4988,10.853
1.435820,10.8867,-1.2066,1.5353,11.060
1.440470,10.7170,-1.4523,1.2778,10.890
1.445351,10.3212,-2.0374,1.0358,10.571
1.450784,9.8868,-2.8212,0.8578,10.317
1.455251,8.9743,-3.5414,0.7739,9.679
1.460045,8.3496,-4.1263,0.5261,9.328
1.466328,7.7263,-4.6154,0.3652,9.007
1.470257,7.1831,-4.7954,0.5666,8.655
1.474806,6.6962,-4.6384,0.8101,8.186
1.481321,6.2943,-4.2691,1.1394,7.690
1.485040,5.6589,-3.6402,1.5225,6.899
1.489910,5.1158,-3.1067,1.6671,6.213
1.494831,4.6894,-2.7962,1.7323,5.728
1.500075,4.3284,-2.6094,1.8287,5.375
1.505019,4.0476,-2.4870,1.9955,5.153
1.509904,3.7140,-2.4016,2.2865,4.979
1.522978,3.5318,-2.2923,2.6468,4.973
1.525022,3.5117,-2.3270,2.5437,4.921
1.525794,3.3987,-2.7612,2.3800,4.984
1.529718,3.4506,-3.0449,2.1745,5.090
1.534497,3.7599,-3.1163,1.9749,5.268
1.539573,4.1041,-3.1081,1.5837,5.386
1.544246,4.4906,-2.8918,1.1738,5.469
1.549247,4.8816,-2.7075,0.8653,5.649
1.554266,5.2196,-2.5313,0.5486,5.827
1.558901,5.2678,-2.4277,0.1932,5.804
1.564798,5.2678,-2.4660,-0.2051,5.820
1.569807,5.3328,-2.5001,-0.4900,5.910
1.574175,5.4397,-2.5423,-0.4827,6.024
1.578837,5.5180,-2.6601,-0.4359,6.141
1.585268,5.6723,-2.4893,-0.2337,6.199
1.588901,5.4454,-2.7974,0.1147,6.123
1.593558,5.0949,-3.2196,0.2631,6.033
1.605751,4.7092,-3.4950,0.3774,5.877
1.607804,4.4604,-3.5427,0.4269,5.712
1.608733,4.4968,-3.4230,0.5007,5.674
1.616123,4.6267,-3.1722,0.6832,5.651
